pivot_1,pivot_2,pivot_3,pivot_4,torque_pivot_1,torque_pivot_2,torque_pivot_3,torque_pivot_4
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-1.1102230246251565e-16,5.583641188300348e-18,-9.974659986866641e-18,-1.9081958235744878e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,5.551115123125783e-17,6.776263578034403e-18,-1.0408340855860843e-17,-1.5612511283791264e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.030446299173678863,-2.7755575615628914e-17,1.6805133673525319e-18,4.336808689942018e-18,1.0408340855860843e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.01826777950420732,-2.7755575615628914e-17,-1.6263032587282567e-19,-6.5052130349130266e-18,2.7755575615628914e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,-0.006089259834735773,1.1102230246251565e-16,-4.391018798566293e-18,-2.6020852139652106e-18,-1.734723475976807e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.006089259834735773,-8.326672684688674e-17,8.51098705401121e-18,6.938893903907228e-18,4.683753385137379e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.018267779504207313,5.551115123125783e-17,-2.846030702774449e-18,-3.0357660829594124e-18,2.42861286636753e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.03044629917367886,-5.551115123125783e-17,2.3852447794681098e-18,-4.7704895589362195e-18,1.0408340855860843e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.042624818843150405,2.7755575615628914e-17,-2.710505431213761e-18,4.336808689942018e-18,-2.42861286636753e-17
-0.05480333851262195,-0.05480333851262195,-0.05480333851262195,0.05480333851262195,1.3877787807814457e-16,-8.131516293641283e-19,1.3010426069826053e-18,-3.469446951953614e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,-0.05480333851262195,1.6653345369377348e-16,2.981555974335137e-19,-5.204170427930421e-18,4.5102810375396984e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,-0.042624818843150405,0.0,8.673617379884035e-19,4.7704895589362195e-18,-5.204170427930421e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,-0.030446299173678863,1.3877787807814457e-16,-5.7462715141731735e-18,2.168404344971009e-18,7.632783294297951e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,-0.01826777950420732,5.551115123125783e-17,3.333921680392926e-18,2.168404344971009e-18,3.122502256758253e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,-0.006089259834735773,8.326672684688674e-17,1.7889335846010823e-18,8.673617379884035e-19,-8.673617379884035e-18
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,0.006089259834735773,1.1102230246251565e-16,-2.4936649967166602e-18,6.5052130349130266e-18,-3.469446951953614e-18
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,0.018267779504207313,5.551115123125783e-17,-1.1384122811097797e-18,0.0,-4.5102810375396984e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,0.03044629917367886,-1.1102230246251565e-16,6.2341624917916505e-19,-4.7704895589362195e-18,-4.336808689942018e-17
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,0.042624818843150405,1.1102230246251565e-16,-4.336808689942018e-18,7.806255641895632e-18,1.734723475976807e-18
-0.05480333851262195,-0.05480333851262195,-0.042624818843150405,0.05480333851262195,1.1102230246251565e-16,0.0,9.974659986866641e-18,0.0
-0.05480333851262195,-0.05480333851262195,-0.030446299173678863,-0.05480333851262195,1.3877787807814457e-16,1.1384122811097797e-18,2.6020852139652106e-18,6.591949208711867e-17
-0.05480333851262195,-0.05480333851262195,-0.030446299173678863,-0.042624818843150405,1.1102230246251565e-16,1.5449880957918438e-18,-2.168404344971009e-18,-1.214306433183765e-17
-0.05480333851262195,-0.05480333851262195,-0.030446299173678863,-0.030446299173678863,8.326672684688674e-17,3.0357660829594124e-18,-1.734723475976807e-18,2.42861286636753e-17
-0.05480333851262195,-0.05480333851262195,-0.030446299173678863,-0.01826777950420732,5.551115123125783e-17,3.2255014631443757e-18,-5.637851296924623e-18,-8.673617379884035e-18
-0.05480333851262195,-0.05480333851262195,-0.030446299173678863,-0.006089259834735773,1.1102230246251565e-16,-4.87890977618477e-19,4.7704895589362195e-18,-4.85722573273506e-17
